trait	trait_uri	studies	association_counts	papers	Olga's comments
Abdominal Aortic Aneurysm	http://www.ebi.ac.uk/efo/EFO_0004214	11	49	11	
Otitis media	http://www.ebi.ac.uk/efo/EFO_0004992	11	33	11	
skin sensitivity to sun	http://www.ebi.ac.uk/efo/EFO_0004795	11	32	11	
chronic kidney disease, diabetic nephropathy	http://www.ebi.ac.uk/efo/EFO_0003884, http://www.ebi.ac.uk/efo/EFO_0000401	11	30	11	
drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	11	29	11	
chronic hepatitis B virus infection	http://www.ebi.ac.uk/efo/EFO_0004239	11	29	11	
Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000280	11	26	11	
age of onset of Parkinson disease	http://purl.obolibrary.org/obo/OBA_2001009	11	24	11	
panic disorder	http://www.ebi.ac.uk/efo/EFO_0004262	11	22	11	
colon carcinoma	http://www.ebi.ac.uk/efo/EFO_1001950	11	16	11	
Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	11	15	11	
response to platinum based chemotherapy	http://www.ebi.ac.uk/efo/EFO_0004647	11	14	11	
spinal stenosis	http://www.ebi.ac.uk/efo/EFO_0007490	11	11	11	
Menorrhagia	http://purl.obolibrary.org/obo/HP_0000132	11	3	11	
Age-related cataract	http://purl.obolibrary.org/obo/HP_0011141	11	3	11	
bronchiectasis	http://purl.obolibrary.org/obo/MONDO_0004822	11	3	11	
Irritability	http://purl.obolibrary.org/obo/HP_0000737	11	0	11	
rib fracture	http://www.ebi.ac.uk/efo/EFO_0009620	11	0	11	
functional laterality	http://www.ebi.ac.uk/efo/EFO_0003889	11	0	11	
neoplasm of esophagus	http://purl.obolibrary.org/obo/MONDO_0021355	11	0	11	
rheumatic disease	http://www.ebi.ac.uk/efo/EFO_0005755	11	0	11	
eyelid disease	http://www.ebi.ac.uk/efo/EFO_0009547	11	0	11	
melanocytic nevus	http://www.ebi.ac.uk/efo/EFO_0009675	11	0	11	
pulmonary embolism	http://www.ebi.ac.uk/efo/EFO_0003827	11	0	11	
benign lipomatous neoplasm	http://purl.obolibrary.org/obo/MONDO_0044983	11	0	11	
stomach disease	http://www.ebi.ac.uk/efo/EFO_0009608	11	0	11	
adolescent idiopathic scoliosis	http://www.ebi.ac.uk/efo/EFO_0005423	10	1386	10	
mean arterial pressure	http://www.ebi.ac.uk/efo/EFO_0006340	10	584	10	
central corneal thickness	http://www.ebi.ac.uk/efo/EFO_0005213	10	422	10	
Takayasu arteritis	http://www.ebi.ac.uk/efo/EFO_1001857	10	166	10	
Vitiligo	http://www.ebi.ac.uk/efo/EFO_0004208	10	98	10	
response to vaccine	http://www.ebi.ac.uk/efo/EFO_0004645	10	91	10	
hip bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007702	10	88	10	Musculoskeletal 
Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	10	77	10	
alcoholic liver disease	http://www.ebi.ac.uk/efo/EFO_0008573	10	71	10	
restless legs syndrome	http://www.ebi.ac.uk/efo/EFO_0004270	10	64	10	
asparaginase hypersensitivity	http://www.ebi.ac.uk/efo/EFO_0004881	10	55	10	
central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	10	54	10	
radiation-induced disorder	http://www.ebi.ac.uk/efo/EFO_0009565	10	49	10	
treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	10	45	10	
response to lithium ion	http://purl.obolibrary.org/obo/GO_0010226	10	37	10	
carpal tunnel syndrome	http://www.ebi.ac.uk/efo/EFO_0004143	10	33	10	
anorexia nervosa	http://www.ebi.ac.uk/efo/EFO_0004215	10	31	10	
esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002916	10	28	10	
colonic neoplasm	http://www.ebi.ac.uk/efo/EFO_0004288	10	27	10	
rectum cancer	http://www.ebi.ac.uk/efo/EFO_1000657	10	25	10	
Cannabis use	http://www.ebi.ac.uk/efo/EFO_0007585	10	14	10	
ankle brachial index	http://www.ebi.ac.uk/efo/EFO_0003912	10	10	10	
Sepsis	http://purl.obolibrary.org/obo/HP_0100806	10	3	10	
sleep apnea	http://www.ebi.ac.uk/efo/EFO_0003877	10	2	10	
duodenal ulcer	http://www.ebi.ac.uk/efo/EFO_0004607	10	2	10	
diabetic eye disease	http://www.ebi.ac.uk/efo/EFO_0009486	10	1	10	
candidiasis	http://purl.obolibrary.org/obo/MONDO_0002026	10	1	10	
pregnancy disorder	http://www.ebi.ac.uk/efo/EFO_0009682	10	0	10	
cellulitis, lymphangitis	http://www.ebi.ac.uk/efo/EFO_0003035, http://www.ebi.ac.uk/efo/EFO_0007351	10	0	10	
ophthalmic procedure	http://www.ebi.ac.uk/efo/EFO_0010722	10	0	10	
dyspepsia	http://www.ebi.ac.uk/efo/EFO_0008533	10	0	10	
Uterine leiomyoma	http://purl.obolibrary.org/obo/HP_0000131	10	0	10	
presbyopia	http://purl.obolibrary.org/obo/MONDO_0001330	10	0	10	
acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000222	9	1748	9	
risk-taking behaviour	http://www.ebi.ac.uk/efo/EFO_0008579	9	936	9	
smoking initiation	http://www.ebi.ac.uk/efo/EFO_0005670	9	471	9	
refractive error	http://purl.obolibrary.org/obo/MONDO_0004892	9	292	9	
JT interval	http://www.ebi.ac.uk/efo/EFO_0007885	9	257	9	
short-term memory	http://www.ebi.ac.uk/efo/EFO_0004335	9	169	9	Mental 
circadian rhythm	http://www.ebi.ac.uk/efo/EFO_0004354	9	164	9	
diverticular disease	http://www.ebi.ac.uk/efo/EFO_0009959	9	160	9	
malaria	http://www.ebi.ac.uk/efo/EFO_0001068	9	145	9	
Vertigo	http://purl.obolibrary.org/obo/HP_0002321	9	102	9	
leprosy	http://www.ebi.ac.uk/efo/EFO_0001054	9	100	9	
albuminuria	http://www.ebi.ac.uk/efo/EFO_0004285	9	98	9	
hypertrophic cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000538	9	96	9	Cardiovascular
Cleft palate	http://purl.obolibrary.org/obo/HP_0000175	9	86	9	
nasopharyngeal neoplasm	http://www.ebi.ac.uk/efo/EFO_0004252	9	72	9	
thalamus volume	http://www.ebi.ac.uk/efo/EFO_0006935	9	69	9	
renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	9	50	9	
autism	http://www.ebi.ac.uk/efo/EFO_0003758	9	43	9	
lumbar disc degeneration	http://www.ebi.ac.uk/efo/EFO_0004994	9	37	9	
narcolepsy-cataplexy syndrome	http://purl.obolibrary.org/obo/MONDO_0016158	9	33	9	
opioid use disorder	http://www.ebi.ac.uk/efo/EFO_0010702	9	32	9	
opioid dependence	http://www.ebi.ac.uk/efo/EFO_0005611	9	30	9	
nicotine metabolite ratio	http://www.ebi.ac.uk/efo/EFO_0007794	9	25	9	
dilated cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000407	9	24	9	
Strabismus	http://purl.obolibrary.org/obo/HP_0000486	9	22	9	
anxiety disorder	http://www.ebi.ac.uk/efo/EFO_0006788	9	22	9	
partial epilepsy	http://www.ebi.ac.uk/efo/EFO_0004263	9	19	9	
autism spectrum disorder symptom	http://www.ebi.ac.uk/efo/EFO_0005426	9	17	9	
pancreatitis	http://www.ebi.ac.uk/efo/EFO_0000278	9	14	9	
Cholecystitis	http://purl.obolibrary.org/obo/HP_0001082	9	13	9	
atherosclerosis	http://www.ebi.ac.uk/efo/EFO_0003914	9	11	9	Cardiovascular
Hematuria	http://purl.obolibrary.org/obo/HP_0000790	9	11	9	
visceral:subcutaneous adipose tissue ratio	http://www.ebi.ac.uk/efo/EFO_0004767	9	8	9	
scoliosis	http://www.ebi.ac.uk/efo/EFO_0004273	9	5	9	
Diarrhea	http://purl.obolibrary.org/obo/HP_0002014	9	4	9	
Knee pain	http://purl.obolibrary.org/obo/HP_0030839	9	4	9	
Meniere disease	http://www.ebi.ac.uk/efo/EFO_0006862	9	4	9	
same-sex sexual behavior	http://www.ebi.ac.uk/efo/EFO_0010142	9	4	9	
spinal fracture	http://www.ebi.ac.uk/efo/EFO_0003902	9	3	9	
esophageal varices	http://www.ebi.ac.uk/efo/EFO_0009545	9	2	9	
human herpesvirus 6 seropositivity	http://www.ebi.ac.uk/efo/EFO_0007048	9	2	9	
Recurrent tonsillitis	http://purl.obolibrary.org/obo/HP_0011110	9	2	9	
drug allergy	http://www.ebi.ac.uk/efo/EFO_0009482	9	1	9	
Peptic ulcer	http://purl.obolibrary.org/obo/HP_0004398	9	1	9	
macular degeneration	http://www.ebi.ac.uk/efo/EFO_0009606	9	0	9	
kidney neoplasm	http://www.ebi.ac.uk/efo/EFO_0003865	9	0	9	
blepharitis	http://www.ebi.ac.uk/efo/EFO_0009536	9	0	9	
nerve plexus disease	http://www.ebi.ac.uk/efo/EFO_0009559	9	0	9	
prostate disease	http://www.ebi.ac.uk/efo/EFO_0009602	9	0	9	
female genital tract polyp	http://www.ebi.ac.uk/efo/EFO_0008622	9	0	9	
age at first facial hair	http://www.ebi.ac.uk/efo/EFO_0009716	9	0	9	
testicular disease	http://www.ebi.ac.uk/efo/EFO_0009601	9	0	9	
polymyalgia rheumatica	http://www.ebi.ac.uk/efo/EFO_0008518	9	0	9	
infectious disease	http://www.ebi.ac.uk/efo/EFO_0005741	9	0	9	
dysplasia of cervix	http://www.ebi.ac.uk/efo/EFO_1000910	9	0	9	
fibromyalgia	http://www.ebi.ac.uk/efo/EFO_0005687	9	0	9	
cellulitis	http://www.ebi.ac.uk/efo/EFO_0003035	9	0	9	
transient ischemic attack	http://www.ebi.ac.uk/efo/EFO_0003764	9	0	9	
peritonitis	http://www.ebi.ac.uk/efo/EFO_0008588	9	0	9	
mathematical ability	http://www.ebi.ac.uk/efo/EFO_0004875	8	2743	8	
corneal resistance factor	http://www.ebi.ac.uk/efo/EFO_0010067	8	651	8	
Abnormality of refraction	http://purl.obolibrary.org/obo/HP_0000539	8	477	8	
Umbilical hernia	http://purl.obolibrary.org/obo/HP_0001537	8	311	8	
late-onset Alzheimers disease	http://www.ebi.ac.uk/efo/EFO_1001870	8	206	8	Mental
resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	8	136	8	
mortality	http://www.ebi.ac.uk/efo/EFO_0004352	8	128	8	
carotid plaque build	http://www.ebi.ac.uk/efo/EFO_0006501	8	113	8	
IGA glomerulonephritis	http://www.ebi.ac.uk/efo/EFO_0004194	8	91	8	
pathological myopia	http://www.ebi.ac.uk/efo/EFO_0004207	8	80	8	
non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	8	76	8	
cholelithiasis	http://www.ebi.ac.uk/efo/EFO_0004799	8	66	8	
information processing speed	http://www.ebi.ac.uk/efo/EFO_0004363	8	61	8	
sensory perception of sweet taste	http://purl.obolibrary.org/obo/GO_0050916	8	56	8	
non-word reading	http://www.ebi.ac.uk/efo/EFO_0005299	8	50	8	
retinal drusen	http://www.ebi.ac.uk/efo/EFO_1001155	8	50	8	
response to anticoagulant	http://purl.obolibrary.org/obo/GO_0061476	8	37	8	
erectile dysfunction	http://www.ebi.ac.uk/efo/EFO_0004234	8	30	8	
glucose tolerance test	http://www.ebi.ac.uk/efo/EFO_0004307	8	28	8	
a disintegrin and metalloproteinase with thrombospondin motifs 13	http://www.ebi.ac.uk/efo/EFO_0008011	8	24	8	
Dysphagia	http://purl.obolibrary.org/obo/HP_0002015	8	19	8	
gestational diabetes	http://www.ebi.ac.uk/efo/EFO_0004593	8	17	8	
tooth agenesis	http://www.ebi.ac.uk/efo/EFO_0005410	8	15	8	
amblyopia	http://purl.obolibrary.org/obo/MONDO_0001020	8	15	8	
Myasthenia gravis	http://www.ebi.ac.uk/efo/EFO_0004991	8	12	8	
psychosis	http://www.ebi.ac.uk/efo/EFO_0005407	8	10	8	
leukopenia, response to thiopurine	http://www.ebi.ac.uk/efo/EFO_0004233, http://www.ebi.ac.uk/efo/EFO_0006317	8	9	8	
Dysmenorrhea	http://purl.obolibrary.org/obo/HP_0100607	8	4	8	
contact dermatitis	http://www.ebi.ac.uk/efo/EFO_0005319	8	3	8	
urinary bladder cancer	http://purl.obolibrary.org/obo/MONDO_0001187	8	3	8	
self-injurious ideation	http://www.ebi.ac.uk/efo/EFO_0010817	8	1	8	
Pruritus	http://purl.obolibrary.org/obo/HP_0000989	8	1	8	
ease of getting up in the morning, self-reported	http://www.ebi.ac.uk/efo/EFO_0009817	8	0	8	
encounter with health service for adjustment and management of implanted device	http://www.ebi.ac.uk/efo/EFO_0020982	8	0	8	
gallbladder disease	http://www.ebi.ac.uk/efo/EFO_0003832	8	0	8	
Thyrotoxicosis	http://www.ebi.ac.uk/efo/EFO_0009190	8	0	8	
Low back pain	http://purl.obolibrary.org/obo/HP_0003419	8	0	8	
abnormal result of diagnostic imaging	http://www.ebi.ac.uk/efo/EFO_0009827	8	0	8	
risk factor	http://www.ebi.ac.uk/efo/EFO_0003919	8	0	8	
abnormal result of function studies	http://www.ebi.ac.uk/efo/EFO_0009628	8	0	8	
lower extremity fracture	http://www.ebi.ac.uk/efo/EFO_0009512	8	0	8	
tibia fracture	http://www.ebi.ac.uk/efo/EFO_0003944	8	0	8	
pleurisy	http://www.ebi.ac.uk/efo/EFO_1001825	8	0	8	
Hip pain	http://purl.obolibrary.org/obo/HP_0030838	8	0	8	
Abnormal bleeding	http://purl.obolibrary.org/obo/HP_0001892	8	0	8	
vascular disease	http://www.ebi.ac.uk/efo/EFO_0004264	8	0	8	
localized superficial swelling, mass, or lump	http://www.ebi.ac.uk/efo/EFO_0010683	8	0	8	
urethral disease	http://www.ebi.ac.uk/efo/EFO_0009689	8	0	8	
osteomyelitis	http://www.ebi.ac.uk/efo/EFO_0003102	8	0	8	
tooth disease	http://www.ebi.ac.uk/efo/EFO_1001216	8	0	8	
Abnormality of vision	http://purl.obolibrary.org/obo/HP_0000504	8	0	8	
platelet component distribution width	http://www.ebi.ac.uk/efo/EFO_0007984	7	850	7	
lymphocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007993	7	649	7	
neutrophil percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007990	7	597	7	
comparative body size at age 10, self-reported	http://www.ebi.ac.uk/efo/EFO_0009819	7	291	7	
autoimmune disease	http://www.ebi.ac.uk/efo/EFO_0005140	7	135	7	
androgenetic alopecia	http://www.ebi.ac.uk/efo/EFO_0004191	7	118	7	
heart rate response to recovery post exercise	http://www.ebi.ac.uk/efo/EFO_0009185	7	114	7	
Stuttering	http://purl.obolibrary.org/obo/HP_0025268	7	102	7	
economic and social preference	http://www.ebi.ac.uk/efo/EFO_0004827	7	97	7	
acne	http://www.ebi.ac.uk/efo/EFO_0003894	7	83	7	
estrogen-receptor negative breast cancer	http://www.ebi.ac.uk/efo/EFO_1000650	7	78	7	
idiopathic pulmonary fibrosis	http://www.ebi.ac.uk/efo/EFO_0000768	7	70	7	
eosinophilic esophagitis	http://www.ebi.ac.uk/efo/EFO_0004232	7	67	7	
Bell's palsy	http://www.ebi.ac.uk/efo/EFO_0007167	7	64	7	
response to radiation	http://purl.obolibrary.org/obo/GO_0009314	7	57	7	
osteoarthritis, hip, osteoarthritis, knee	http://www.ebi.ac.uk/efo/EFO_1000786, http://www.ebi.ac.uk/efo/EFO_0004616	7	57	7	
sudden cardiac arrest	http://www.ebi.ac.uk/efo/EFO_0004278	7	54	7	
heart rate response to exercise	http://www.ebi.ac.uk/efo/EFO_0009184	7	54	7	
platelet aggregation	http://purl.obolibrary.org/obo/GO_0070527	7	54	7	
sclerosing cholangitis	http://www.ebi.ac.uk/efo/EFO_0004268	7	51	7	
gestational age	http://www.ebi.ac.uk/efo/EFO_0005112	7	40	7	
Uveal Melanoma	http://www.ebi.ac.uk/efo/EFO_1000616	7	39	7	
response to statin	http://purl.obolibrary.org/obo/GO_0036273	7	38	7	
obsolete_frontotemporal dementia	http://www.orpha.net/ORDO/Orphanet_282	7	32	7	
obsolete_retinitis pigmentosa	http://www.orpha.net/ORDO/Orphanet_791	7	31	7	
coffee consumption	http://www.ebi.ac.uk/efo/EFO_0004330	7	31	7	
vitamin D deficiency	http://www.ebi.ac.uk/efo/EFO_0003762	7	30	7	Muskuloskeletal 
P wave duration	http://www.ebi.ac.uk/efo/EFO_0005094	7	29	7	
Facial wrinkling	http://purl.obolibrary.org/obo/HP_0009762	7	28	7	
obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	7	28	7	
personality trait	http://www.ebi.ac.uk/efo/EFO_0004365	7	27	7	
corneal hysteresis	http://www.ebi.ac.uk/efo/EFO_0010066	7	26	7	
Hirschsprung disease	http://purl.obolibrary.org/obo/MONDO_0018309	7	25	7	
chromatid-type aberration frequency	http://www.ebi.ac.uk/efo/EFO_0009862	7	18	7	
energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	7	18	7	
Keloid	http://www.ebi.ac.uk/efo/EFO_0004212	7	18	7	
hepatitis B virus infection	http://www.ebi.ac.uk/efo/EFO_0004197	7	17	7	
chromosome-type aberration frequency	http://www.ebi.ac.uk/efo/EFO_0009861	7	17	7	
Herpes Zoster	http://www.ebi.ac.uk/efo/EFO_0006510	7	15	7	
anxiety disorder, stress-related disorder	http://www.ebi.ac.uk/efo/EFO_0006788, http://www.ebi.ac.uk/efo/EFO_0010098	7	15	7	
age at voice drop	http://www.ebi.ac.uk/efo/EFO_0007888	7	14	7	
Abnormality of the dentition	http://purl.obolibrary.org/obo/HP_0000164	7	13	7	
chromosomal aberration frequency	http://www.ebi.ac.uk/efo/EFO_0009860	7	12	7	
oral cavity cancer	http://www.ebi.ac.uk/efo/EFO_0005570	7	11	7	
diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	7	10	7	
aortic aneurysm	http://www.ebi.ac.uk/efo/EFO_0001666	7	7	7	
chronic bronchitis	http://www.ebi.ac.uk/efo/EFO_0006505	7	6	7	
bronchitis	http://www.ebi.ac.uk/efo/EFO_0009661	7	5	7	
survival time, breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0000305	7	5	7	
hyperopia	http://purl.obolibrary.org/obo/MONDO_0004891	7	4	7	
Constipation	http://purl.obolibrary.org/obo/HP_0002019	7	2	7	
polyneuropathy	http://www.ebi.ac.uk/efo/EFO_0009562	7	2	7	
subarachnoid hemorrhage	http://www.ebi.ac.uk/efo/EFO_0000713	7	2	7	
psychiatric disorder	http://purl.obolibrary.org/obo/MONDO_0002025	7	2	7	
complex trait	http://www.ebi.ac.uk/efo/EFO_0010578	7	0	7	
nose injury	http://www.ebi.ac.uk/efo/EFO_0009623	7	0	7	
otitis externa	http://www.ebi.ac.uk/efo/EFO_0009560	7	0	7	
nontoxic goiter	http://purl.obolibrary.org/obo/MONDO_0001658	7	0	7	
Raynaud disease	http://www.ebi.ac.uk/efo/EFO_1001145	7	0	7	
dermatophytosis	http://purl.obolibrary.org/obo/MONDO_0004678	7	0	7	
spontaneous abortion	http://www.ebi.ac.uk/efo/EFO_1001255	7	0	7	
Seizure	http://purl.obolibrary.org/obo/HP_0001250	7	0	7	
cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000318	7	0	7	
pancreas disease	http://www.ebi.ac.uk/efo/EFO_0009605	7	0	7	
viral disease, intestinal disease	http://www.ebi.ac.uk/efo/EFO_0000763, http://www.ebi.ac.uk/efo/EFO_0009431	7	0	7	
synovium disorder	http://purl.obolibrary.org/obo/MONDO_0056799	7	0	7	
gastrointestinal disease	http://www.ebi.ac.uk/efo/EFO_0010282	7	0	7	
vestibular disease	http://www.ebi.ac.uk/efo/EFO_0009691	7	0	7	
viral disease	http://www.ebi.ac.uk/efo/EFO_0000763	7	0	7	
female infertility	http://www.ebi.ac.uk/efo/EFO_0008560	7	0	7	
rosacea	http://www.ebi.ac.uk/efo/EFO_1000760	7	0	7	
Helicobacter pylori seropositivity	http://www.ebi.ac.uk/efo/EFO_0009341	7	0	7	
Abnormal morphology of female internal genitalia	http://purl.obolibrary.org/obo/HP_0000008	7	0	7	
Anal fissure	http://purl.obolibrary.org/obo/HP_0012390	7	0	7	
Jaundice	http://purl.obolibrary.org/obo/HP_0000952	7	0	7	
essential hypertension	http://purl.obolibrary.org/obo/MONDO_0001134	7	0	7	
Dyspnea	http://purl.obolibrary.org/obo/HP_0002094	7	0	7	
appendicular lean mass	http://www.ebi.ac.uk/efo/EFO_0004980	6	1733	6	
monocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007989	6	831	6	
eosinophil percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007991	6	801	6	
basophil percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007992	6	229	6	
granulocyte count	http://www.ebi.ac.uk/efo/EFO_0007987	6	194	6	
adult onset asthma	http://www.ebi.ac.uk/efo/EFO_1002011	6	160	6	
cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	6	140	6	
obsolete_conotruncal heart malformations	http://www.orpha.net/ORDO/Orphanet_2445	6	89	6	
Hypermetropia	http://purl.obolibrary.org/obo/HP_0000540	6	83	6	
neurotic disorder	http://www.ebi.ac.uk/efo/EFO_0004257	6	71	6	
ovarian serous carcinoma	http://www.ebi.ac.uk/efo/EFO_1001516	6	71	6	
systolic blood pressure, physical activity	http://www.ebi.ac.uk/efo/EFO_0006335, http://www.ebi.ac.uk/efo/EFO_0003940	6	53	6	
psychotic symptoms	http://www.ebi.ac.uk/efo/EFO_0005940	6	46	6	
Hallux valgus	http://purl.obolibrary.org/obo/HP_0001822	6	45	6	
volumetric bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007620	6	42	6	
sensory perception of bitter taste	http://purl.obolibrary.org/obo/GO_0050913	6	39	6	
congenital heart disease	http://www.ebi.ac.uk/efo/EFO_0005207	6	38	6	
squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	6	38	6	
ventral hernia	http://www.ebi.ac.uk/efo/EFO_1001866	6	36	6	
diastolic blood pressure, physical activity	http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0003940	6	33	6	
obsolete_progressive supranuclear palsy	http://www.orpha.net/ORDO/Orphanet_683	6	33	6	
oropharynx cancer	http://www.ebi.ac.uk/efo/EFO_1001931	6	30	6	
coronary aneurysm	http://www.ebi.ac.uk/efo/EFO_1000881	6	30	6	
sensory perception of smell	http://purl.obolibrary.org/obo/GO_0007608	6	29	6	
unipolar depression, age at onset	http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0004847	6	29	6	
Lewy body dementia	http://www.ebi.ac.uk/efo/EFO_0006792	6	26	6	Mental 
Herpes Zoster, response to tofacitinib	http://www.ebi.ac.uk/efo/EFO_0006510, http://www.ebi.ac.uk/efo/EFO_0600024	6	25	6	
femoral hernia	http://www.ebi.ac.uk/efo/EFO_1001791	6	23	6	
sensory perception of taste	http://purl.obolibrary.org/obo/GO_0050909	6	22	6	
generalized anxiety disorder	http://www.ebi.ac.uk/efo/EFO_1001892	6	22	6	
cardiac hypertrophy	http://www.ebi.ac.uk/efo/EFO_0002503	6	19	6	
response to venlafaxine	http://www.ebi.ac.uk/efo/EFO_0006328	6	17	6	
body weight loss	http://www.ebi.ac.uk/efo/EFO_0005245	6	16	6	Glucose homeostasis/obesity
lymphocyte count, response to vaccine	http://www.ebi.ac.uk/efo/EFO_0004587, http://www.ebi.ac.uk/efo/EFO_0004645	6	13	6	
urticaria	http://www.ebi.ac.uk/efo/EFO_0005531	6	13	6	
pulmonary tuberculosis	http://www.ebi.ac.uk/efo/EFO_1000049	6	9	6	
exfoliation syndrome	http://www.ebi.ac.uk/efo/EFO_0004235	6	8	6	
stenosing tenosynovitis	http://www.ebi.ac.uk/efo/EFO_0010822	6	8	6	
Red cell distribution width	http://www.ebi.ac.uk/efo/EFO_0009188	6	7	6	
femoral neck bone geometry	http://www.ebi.ac.uk/efo/EFO_0004511	6	7	6	
rotator cuff tear	http://www.ebi.ac.uk/efo/EFO_1001250	6	7	6	
aortic stenosis	http://www.ebi.ac.uk/efo/EFO_0000266	6	6	6	
Chronic pain	http://purl.obolibrary.org/obo/HP_0012532	6	6	6	
left ventricular mass	http://www.ebi.ac.uk/efo/EFO_0009289	6	5	6	
atopic march	http://www.ebi.ac.uk/efo/EFO_0007755	6	4	6	
response to allogeneic hematopoietic stem cell transplant, mortality	http://www.ebi.ac.uk/efo/EFO_0007044, http://www.ebi.ac.uk/efo/EFO_0004352	6	4	6	
atopy	http://www.ebi.ac.uk/efo/EFO_0002686	6	4	6	
